specialty_name,diagnosis_name,frequency,is_core_disease,disease_role,review_status,notes
心血管,Old myocardial infarction,11656,1,核心病种,保留,命中专科核心病种关键词
心血管,Essential (primary) hypertension,2408,1,核心病种,保留,命中专科核心病种关键词
心血管,Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site,1852,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
心血管,Intracerebral hemorrhage,1591,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
心血管,Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site,1292,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
心血管,Pseudomonas infection in conditions classified elsewhere and of unspecified site,1023,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
心血管,Portal vein thrombosis,766,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
心血管,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,668,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
心血管,Subarachnoid hemorrhage,595,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
心血管,Atherosclerotic heart disease of native coronary artery without angina pectoris,481,1,核心病种,保留,命中专科核心病种关键词
心血管,Unspecified atrial fibrillation,436,1,核心病种,保留,命中专科核心病种关键词
心血管,Paroxysmal atrial fibrillation,270,1,核心病种,保留,命中专科核心病种关键词
心血管,"Cerebral aneurysm, nonruptured",250,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
心血管,"Hypotension, unspecified",187,0,背景共病,降级保留,未命中明显专科核心关键词，保留为背景共病
心血管,Hypertensive heart disease with heart failure,178,1,核心病种,保留,命中专科核心病种关键词
心血管,Other pulmonary embolism without acute cor pulmonale,165,1,核心病种,保留,命中专科核心病种关键词
心血管,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site",164,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
心血管,Supraventricular tachycardia,157,1,核心病种,保留,命中专科核心病种关键词
心血管,Non-ST elevation (NSTEMI) myocardial infarction,126,1,核心病种,保留,命中专科核心病种关键词
心血管,Nonrheumatic mitral (valve) insufficiency,118,1,核心病种,保留,命中专科核心病种关键词
