specialty_name,diagnosis_name,frequency,is_core_disease,disease_role,review_status,notes
肾内/泌尿,Hydronephrosis,1677,1,核心病种,保留,命中专科核心病种关键词
肾内/泌尿,Other specified noninflammatory disorders of uterus,508,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
肾内/泌尿,"Urinary tract infection, site not specified",205,1,核心病种,保留,命中专科核心病种关键词
肾内/泌尿,"Acute kidney failure, unspecified",198,1,核心病种,保留,命中专科核心病种关键词
肾内/泌尿,"Renal sclerosis, unspecified",103,1,核心病种,保留,命中专科核心病种关键词
肾内/泌尿,Female pelvic peritoneal adhesions (postinfective),99,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
肾内/泌尿,Hydronephrosis with renal and ureteral calculous obstruction,75,1,核心病种,保留,命中专科核心病种关键词
肾内/泌尿,Calculus of kidney,68,1,核心病种,保留,命中专科核心病种关键词
肾内/泌尿,Benign prostatic hyperplasia with lower urinary tract symptoms,66,1,核心病种,保留,命中专科核心病种关键词
肾内/泌尿,Excessive and frequent menstruation with regular cycle,65,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
肾内/泌尿,Redundant prepuce and phimosis,57,1,核心病种,保留,命中专科核心病种关键词
肾内/泌尿,"Abnormal uterine and vaginal bleeding, unspecified",48,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
肾内/泌尿,Endometriosis of uterus,48,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
肾内/泌尿,"Renal failure, unspecified",48,1,核心病种,保留,命中专科核心病种关键词
肾内/泌尿,"Other noninflammatory disorders of ovary, fallopian tube and broad ligament",47,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
肾内/泌尿,Benign prostatic hyperplasia without lower urinary tract symptoms,45,1,核心病种,保留,命中专科核心病种关键词
肾内/泌尿,Pyonephrosis,39,1,核心病种,保留,命中专科核心病种关键词
肾内/泌尿,"Tubulo-interstitial nephritis, not specified as acute or chronic",37,1,核心病种,保留,命中专科核心病种关键词
肾内/泌尿,Unspecified hydronephrosis,37,1,核心病种,保留,命中专科核心病种关键词
肾内/泌尿,"Unspecified ovarian cyst, right side",37,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
