specialty_name,diagnosis_name,frequency,is_core_disease,disease_role,review_status,notes
神经,Unspecified septicemia,2280,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
神经,Multiple sclerosis,1401,1,核心病种,保留,命中专科核心病种关键词
神经,Streptococcal septicemia,382,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
神经,"Insomnia, unspecified",379,0,背景共病,降级保留,未命中明显专科核心关键词，保留为背景共病
神经,"Migraine, unspecified, not intractable, without status migrainosus",326,1,核心病种,保留,命中专科核心病种关键词
神经,"Epilepsy, unspecified, not intractable, without status epilepticus",278,1,核心病种,保留,命中专科核心病种关键词
神经,Other chronic pain,260,0,背景共病,降级保留,未命中明显专科核心关键词，保留为背景共病
神经,Obstructive sleep apnea (adult) (pediatric),189,1,核心病种,保留,命中专科核心病种关键词
神经,Cerebral edema,179,1,核心病种,保留,命中专科核心病种关键词
神经,"Polyneuropathy, unspecified",111,1,核心病种,保留,命中专科核心病种关键词
神经,Neoplasm related pain (acute) (chronic),101,0,背景共病,降级保留,未命中明显专科核心关键词，保留为背景共病
神经,Other acute postprocedural pain,101,0,背景共病,降级保留,术后/并发症/过程性疾病，降级为背景共病
神经,Compression of brain,98,1,核心病种,保留,命中专科核心病种关键词
神经,Other specified septicemias,96,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
神经,Streptococcal sore throat,83,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
神经,Parkinson's disease,81,1,核心病种,保留,命中专科核心病种关键词
神经,Septicemia due to anaerobes,79,0,应剔除项,已剔除,明显跨专科或无助于专科知识库，已自动剔除
神经,Other specified disorders of brain,76,1,核心病种,保留,命中专科核心病种关键词
神经,"Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus",72,1,核心病种,保留,命中专科核心病种关键词
神经,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus",62,1,核心病种,保留,命中专科核心病种关键词
